humidity,temperature,luminosity,label
38,17.55,261.71,inconnu
90,28.26,246.98,inconnu
70,38.19,906.25,inconnu
58,33.97,249.55,sec
19,36.2,271.95,tres_sec
19,31.76,759.4,optimal
10,32.77,449.74,sec
82,37.48,776.71,inconnu
59,19.49,65.37,inconnu
68,26.68,487.57,optimal
6,18.64,33.61,inconnu
92,41.63,62.65,inconnu
79,40.32,906.44,inconnu
24,13.18,139.25,inconnu
21,33.17,532.42,sec
21,39.76,411.1,tres_sec
32,17.42,347.34,inconnu
52,29.04,899.83,humide
43,39.46,21.82,sec
31,13.02,663.79,inconnu
60,32.92,963.39,inconnu
17,20.92,560.17,humide
31,39.73,936.82,inconnu
37,41.13,52.26,tres_sec
46,40.33,418.79,sec
75,26.23,260.16,humide
22,37.86,730.82,optimal
51,37.34,981.3,inconnu
58,21.57,256.53,humide
9,36.87,654.17,sec
59,13.11,198.1,inconnu
20,29.89,565.33,optimal
10,18.9,463.93,inconnu
90,15.62,972.01,tres_humide
91,14.31,608.53,inconnu
77,32.89,349.51,humide
32,22.2,114.1,humide
13,33.74,151.25,sec
66,13.96,225.32,inconnu
44,21.46,250.97,humide
15,28.18,850.62,humide
49,35.72,561.22,sec
8,21.56,523.39,humide
86,30.78,114.77,inconnu
28,38.58,860.14,humide
64,30.48,722.81,optimal
33,18.99,67.67,inconnu
51,12.73,707.84,inconnu
54,38.1,543.54,sec
21,12.64,81.73,inconnu
92,38.24,458.3,inconnu
74,27.87,484.7,humide
89,40.17,165.77,inconnu
85,35.96,945.7,inconnu
58,41.94,849.98,humide
87,22.52,669.02,inconnu
12,35.02,462.3,tres_sec
22,24.06,411.77,humide
9,26.4,650.97,optimal
34,30.83,545.43,sec
39,38.21,62.27,tres_sec
29,41.52,512.5,sec
79,35.05,806.4,humide
37,24.53,459.24,humide
30,24.64,51.96,humide
53,34.13,786.28,optimal
17,19.16,201.36,inconnu
77,15.31,258.62,inconnu
11,22.64,164.71,humide
93,20.62,330.22,inconnu
74,20.89,756.75,humide
22,19.01,519.39,inconnu
5,13.26,204.88,inconnu
78,12.54,877.83,inconnu
68,41.63,879.58,humide
70,24.83,870.58,humide
74,23.53,238.8,humide
11,32.39,451.24,sec
37,18.55,984.99,inconnu
15,40.5,772.01,optimal
82,35.59,27.17,inconnu
61,14.68,65.2,inconnu
34,24.53,463.93,humide
10,38.37,909.22,inconnu
32,40.34,538.7,sec
34,26.02,497.81,optimal
70,30.4,105.47,humide
62,17.01,656.78,inconnu
84,41.74,822.1,inconnu
47,18.95,380.42,inconnu
15,40.28,775.61,optimal
69,31.49,964.48,inconnu
73,30.23,203.77,humide
55,27.38,523.33,optimal
74,18.92,287.14,inconnu
49,17.3,792.85,inconnu
52,18.61,577.59,inconnu
43,17.59,634.58,inconnu
7,35.39,797.91,optimal
14,22.5,395.97,humide
7,13.74,915.09,inconnu
62,41.07,533.03,optimal
33,38.51,157.95,tres_sec
50,39.83,695.9,sec
86,41.85,793.26,inconnu
27,17.22,316.76,inconnu
41,23.89,857.18,humide
72,34.75,906.14,inconnu
25,32.88,276.9,sec
11,16.62,983.52,inconnu
31,36.47,140.71,tres_sec
19,18.73,202.02,inconnu
88,18.71,184.22,inconnu
77,28.11,893.99,humide
62,29.79,654.29,optimal
83,29.4,152.1,inconnu
77,14.74,440.32,inconnu
21,38.32,615.3,sec
85,19.97,83.46,inconnu
53,15.89,882.42,inconnu
77,38.66,803.6,humide
85,40.67,505.21,inconnu
33,37.86,967.13,inconnu
14,36.29,417.76,tres_sec
25,31.66,984.11,inconnu
43,28.53,667.92,optimal
